AcademicYear,Quarter,CensusDate,CourseCode,Section,CRN,Instructor,Capacity,Enrolled,SeatsRemaining,Waitlist,Campus,Days,StartTime,EndTime,Credits,ScheduleType,DeliveryMode,Room,Building
2022-23,Spring,,DESN 458,040,18571,Lybbert Meg,24,12,12,10,Spokane,SMTWRF,03:00,04:50,4,Performance,Online,,
2022-23,Spring,,DESN 463,040,18572,Durr Sonja,24,6,18,5,Spokane,SMTWRF,01:00,02:50,4,Performance,Online,,
2022-23,Spring,,DESN 468,040,18573,Manikoth Colin,24,11,13,5,Spokane,SMTWRF,01:00,02:50,4,Performance,Online,,
2022-23,Spring,,DESN 480,040,18574,Pettigrew Allan,24,9,15,5,Spokane,SMTWRF,08:00,09:50,4,Performance,Online,,
2022-23,Spring,,DESN 490,040,18575,Breen Melinda,24,19,5,5,Spokane,SMTWRF,10:00,12:20,5,Performance,Online,,Senior Capstone
2022-23,Spring,,DESN 493,040,18576,Pettigrew Allan,24,7,17,5,Spokane,SMTWRF,04:00,05:50,2,Performance,Online,,
2022-23,Spring,,DESN 495,040,18578,Breen Melinda,4,4,0,0,Spokane,SMTWRFS,,,,4,Field Application,Online,,
2022-23,Spring,,DESN 495,041,19575,Breen Melinda,3,3,0,0,Spokane,SMTWRFS,,,,3,Field Application,Online,,
2022-23,Spring,,DESN 495,042,19686,Breen Melinda,5,5,0,0,Spokane,SMTWRFS,,,,5,Field Application,Online,,
2022-23,Spring,,DESN 495,043,19748,Breen Melinda,2,2,0,0,Spokane,SMTWRFS,,,,2,Field Application,Online,,
2022-23,Spring,,DESN 499,041,19620,Durr Sonja,4,4,0,0,Spokane,SMTWRFS,,,,4,Independent,Online,,
2022-23,Spring,,DESN 499,042,19651,Kuhn Jamin,1,1,0,0,Spokane,SMTWRFS,,,,1,Independent,Online,,FAB LAB TA
2022-23,Spring,,DESN 499,043,19671,Breen Melinda,2,2,0,0,Spokane,SMTWRFS,,,,2,Independent,Online,,
2022-23,Spring,,DESN 499,044,19721,Durr Sonja,2,2,0,0,Spokane,SMTWRFS,,,,2,Independent,Online,,
2022-23,Spring,,DESN 499,045,19749,Hustrulid Ginelle,5,5,0,0,Spokane,SMTWRFS,,,,5,Independent,Online,,
2022-23,Spring,,DESN 499,046,19750,Lybbert Meg,3,3,0,0,Spokane,SMTWRFS,,,,3,Independent,Online,,Board Game
2022-23,Spring,,DESN 499,047,19822,Durr Sonja,1,1,0,0,Spokane,SMTWRFS,,,,1,Independent,Online,,
2022-23,Spring,,DESN 499,048,19827,Sopu Ariel,4,4,0,0,Spokane,SMTWRFS,,,,4,Independent,Online,,Mural Design
2022-23,Spring,,DESN 499,049,19846,Pettigrew Allan,1,1,0,0,Spokane,SMTWRFS,,,,1,Independent,Online,,Portfolio Dev
2022-23,Spring,,DESN 499,050,19857,Manikoth Colin,1,1,0,0,Spokane,SMTWRFS,,,,1,Independent,Online,,Device Lab
